Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,Fee_y,NonAdopted
2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,0,1,0
2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,0,0,0
1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,0,1,0
1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,0,0,0
2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,0,0,0
2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,0,1,0
1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,0,0,0
2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,0,0,0
2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,0,0,1
1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,0,0,0
2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,0,1,0
1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,0,0,0
2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,0,0,0
1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,0,0,0
1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,0,0,1
2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,0,0,0
1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,0,1,1
1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,0,0,0
2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,0,0,1
1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,0,0,0
1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,0,0,1
2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,0,0,1
1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,0,1
2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,0,0,0
2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,0,0,0
2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,0,0,0
2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,0,0,0
1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,0,1,0
2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,0,0,0
1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,0,0,0
2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,0,0,0
1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,0,0,1
2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,0,0,0
2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,0,1,1
2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,0,0,0
2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,0,0,1
2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,0,0,0
1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,0,0,0
1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,0,0,0
2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,0,0,0
2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,0,0,0
2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,0,0,0
1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,41401,0,0,0
1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,0,0,1
1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,0,0,1
2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,0,0,0
1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,0,1
1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,0,0,0
2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,0,0,0
1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,41326,0,0,0
2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,41401,0,1,1
1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,0,0,0
1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,41326,0,0,1
1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,41326,0,0,0
2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,41401,0,0,0
2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,0,1,1
1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,0,0,0
1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,0,0,0
2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,0,0,1
2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,0,0,0
1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,0,0,1
1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,41326,0,0,1
1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,0,0,0
1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,0,0,0
1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,0,0,0
2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,0,0,1
2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,41401,0,0,0
2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,0,0,0
1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,41401,0,0,1
1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,0,0,1
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,41326,0,0,0
1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,41401,0,0,0
1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41326,0,0,1
1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,41335,0,1,0
1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,41336,0,0,0
1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,41326,1,0,1
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,0,0,0
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,0,0
1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,41326,0,0,0
1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,41327,0,0,1
1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,41326,0,1,0
1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,41325,0,0,0
1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,41326,0,0,0
2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,41326,0,1,0
1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,41326,0,0,0
2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,41326,0,0,1
1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,41326,0,0,0
1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41330,3,0,0
1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,41326,4,0,0
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41330,0,0,0
2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,41326,0,0,1
1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,41326,0,0,1
2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,41324,0,0,0
2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,41326,0,0,1
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41327,0,0,0
2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,41401,0,0,0
1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,41401,0,0,0
1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,41336,0,0,0
2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,41326,0,0,0
2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,41401,0,0,0
1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,41326,0,0,0
1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,41401,0,0,1
1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,0,0
2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,41326,0,0,0
2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,41401,0,0,0
